student_id,course_id,subject,semester,section,final_grade,gender,course_interest,perceived_competence,utility_value
85650,FrScA-S116-01,FrScA,S116,1,100,F,4,3,3.666666667
85651,FrScA-S116-01,FrScA,S116,1,64.98858447,F,NA,NA,NA
85659,FrScA-S116-01,FrScA,S116,1,NA,M,4.2,4,3.666666667
85659,FrScA-S216-01,FrScA,S216,1,67.72009029,F,4.2,4,3.666666667
85661,FrScA-S116-02,FrScA,S116,2,87.19863014,M,5,4,3.666666667
85662,FrScA-S116-01,FrScA,S116,1,NA,F,4.7,4.25,3.5
85663,FrScA-S116-01,FrScA,S116,1,49.31506849,F,5,4,4
85665,FrScA-S116-01,FrScA,S116,1,96.80365297,F,3.6,3,3
85668,FrScA-S116-01,FrScA,S116,1,42.69406393,F,2.8,2.5,3.333333333
85698,FrScA-S116-02,FrScA,S116,2,32.5913242,F,4.2,3,3.666666667
85700,FrScA-S116-03,FrScA,S116,3,89.84246575,F,5,3,4
85701,FrScA-S116-03,FrScA,S116,3,91.4109589,F,NA,NA,NA
85702,FrScA-S116-03,FrScA,S116,3,86.52054795,F,5,5,5
85704,FrScA-S116-03,FrScA,S116,3,68.26484018,M,2.8,3,3.333333333
85791,FrScA-S116-01,FrScA,S116,1,96.80365297,M,3,3,2.666666667
85792,FrScA-S116-01,FrScA,S116,1,89.49771689,M,4.2,3,4
85796,FrScA-S216-01,FrScA,S216,1,91.19638826,M,4.2,3.5,3.666666667
85865,AnPhA-S116-01,AnPhA,S116,1,52.1712,F,4.6,4.5,4.666666667
85866,AnPhA-S116-01,AnPhA,S116,1,75.1296,M,2.4,2.5,3
85867,FrScA-S216-04,FrScA,S216,4,86.20767494,F,4.4,3,3.333333333
85889,BioA-S116-01,BioA,S116,1,7.580645161,F,5,4.5,4
85891,FrScA-S116-03,FrScA,S116,3,85.87442922,F,NA,NA,NA
85929,FrScA-S116-01,FrScA,S116,1,85.61643836,M,4.1,3,3.166666667
85930,FrScA-S116-01,FrScA,S116,1,83.78995434,F,NA,NA,NA
85953,PhysA-S116-01,PhysA,S116,1,95.13888889,F,3.666666667,3.666666667,3.888888889
85962,PhysA-S116-01,PhysA,S116,1,85.93055556,F,3.8,3.5,3.333333333
85970,AnPhA-S116-01,AnPhA,S116,1,81.6224,M,3.4,3,3.333333333
86002,FrScA-S216-04,FrScA,S216,4,91.50564334,F,5,5,5
86067,BioA-S116-01,BioA,S116,1,88.78494624,F,NA,NA,NA
86072,AnPhA-S116-01,AnPhA,S116,1,91.2928,M,4.2,3,3.666666667
86105,FrScA-S116-01,FrScA,S116,1,89.9543379,M,NA,NA,NA
86110,BioA-S116-01,BioA,S116,1,75.11182796,F,4.8,4.5,4.333333333
86113,BioA-S116-01,BioA,S116,1,75.0827957,F,4.25,3.5,3.666666667
86119,AnPhA-S116-01,AnPhA,S116,1,71.7376,F,4.2,3.5,4
86130,BioA-S116-01,BioA,S116,1,72.84946237,F,4.2,3,3.666666667
86133,OcnA-S116-02,OcnA,S116,2,79.11222781,M,4.6,3.5,3.333333333
86202,BioA-S116-01,BioA,S116,1,45.76666667,F,4.8,3.5,3.666666667
86216,BioA-S116-01,BioA,S116,1,92.94301075,F,4.8,3.5,3.666666667
86229,FrScA-S216-01,FrScA,S216,1,84.65011287,F,4.6,4.5,3.666666667
86240,OcnA-S216-01,OcnA,S216,1,71.80904523,F,3.8,3,4
86251,FrScA-S216-01,FrScA,S216,1,72.91196388,F,5,5,5
86267,AnPhA-S116-01,AnPhA,S116,1,35.0608,M,5,3.5,5
86268,AnPhA-S216-01,AnPhA,S216,1,93.5386672,M,NA,NA,NA
86271,FrScA-S116-01,FrScA,S116,1,97.26027397,F,NA,NA,NA
86275,AnPhA-S116-01,AnPhA,S116,1,95.0208,F,4,3,4
86277,AnPhA-S116-01,AnPhA,S116,1,89.8133328,M,4.2,3.5,3.666666667
86280,FrScA-S116-01,FrScA,S116,1,85.61643836,F,4.2,3.5,3.333333333
86286,AnPhA-S116-01,AnPhA,S116,1,96.8144,F,5,4.5,5
86294,AnPhA-S116-01,AnPhA,S116,1,83.4938672,F,5,4,5
86296,OcnA-S216-01,OcnA,S216,1,73.1038526,F,4.133333333,3.666666667,2.888888889
86309,FrScA-S116-03,FrScA,S116,3,68.65525114,F,NA,NA,1
86314,AnPhA-S116-02,AnPhA,S116,2,81.5237328,F,2.6,1.5,1
86339,FrScA-S116-01,FrScA,S116,1,91.78082192,F,4.2,3.5,3.666666667
86340,FrScA-S116-01,FrScA,S116,1,95.43378995,M,4.2,3.5,2.666666667
86340,OcnA-S216-01,OcnA,S216,1,NA,F,4.2,3.5,2.666666667
86349,FrScA-S216-01,FrScA,S216,1,87.81038375,F,3.8,2.5,3.333333333
86349,OcnA-S116-01,OcnA,S116,1,90.86767169,F,3.8,2.5,3.333333333
86353,PhysA-S116-01,PhysA,S116,1,85.73611111,F,5,3.5,5
86364,FrScA-S116-01,FrScA,S116,1,81.27853881,M,4.9,4.5,4.5
86365,FrScA-S116-01,FrScA,S116,1,98.17351598,M,4.6,5,5
86429,AnPhA-S116-01,AnPhA,S116,1,89.5072,M,3,3,3
86432,AnPhA-S116-01,AnPhA,S116,1,68.6629328,M,5,4.5,4.666666667
86446,AnPhA-S116-01,AnPhA,S116,1,85.6208,M,3.8,4,3.333333333
86451,AnPhA-S116-01,AnPhA,S116,1,93.7024,F,4,3.5,3.333333333
86455,FrScA-S116-01,FrScA,S116,1,91.09589041,F,4.5,3.75,3.75
86455,OcnA-S216-01,OcnA,S216,1,92.03517588,F,4.5,3.75,3.75
86460,OcnA-S116-01,OcnA,S116,1,88.72026801,M,NA,NA,NA
86476,AnPhA-S116-01,AnPhA,S116,1,92.1949328,F,4.6,4,4
86476,FrScA-S116-01,FrScA,S116,1,95.43378995,F,4.6,4,4
86479,AnPhA-S116-01,AnPhA,S116,1,92.6074672,F,4.2,3,3.333333333
86484,AnPhA-S116-01,AnPhA,S116,1,80.0656,F,4,4,3.333333333
86488,AnPhA-S116-01,AnPhA,S116,1,87.4408,M,3,2.5,3.333333333
86490,FrScA-S216-01,FrScA,S216,1,93.67945824,M,4.4,4.25,3.833333333
86492,AnPhA-S116-01,AnPhA,S116,1,25.5928,F,NA,NA,NA
86504,AnPhA-S116-01,AnPhA,S116,1,75.5392,M,NA,NA,NA
86515,FrScA-S216-01,FrScA,S216,1,87.13318284,F,4.333333333,3.666666667,3.555555556
86527,OcnA-S216-01,OcnA,S216,1,82.71524288,F,3.6,3,3.333333333
86543,FrScA-S116-01,FrScA,S116,1,79.45205479,F,NA,NA,NA
